OBJECTID,lat,long,dailyave,date,site,name,dateorig
79,36.819299999999998,-97.819800000000001,0.407627583000000,2007-3-15T00:00:00.000Z,US-A32,ARM-SGP Medford hay pasture,3/15/2007 0:00:00
80,36.426699999999997,-99.420000000000002,0.162055418000000,2007-3-15T00:00:00.000Z,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,3/15/2007 0:00:00
81,36.635800000000003,-99.597499999999997,0.136045977000000,2007-3-15T00:00:00.000Z,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,3/15/2007 0:00:00
82,35.549700000000001,-98.040199999999999,0.219814464000000,2007-3-15T00:00:00.000Z,US-ARb,ARM Southern Great Plains burn site- Lamont,3/15/2007 0:00:00
83,35.546500000000002,-98.040000000000006,0.219814464000000,2007-3-15T00:00:00.000Z,US-ARc,ARM Southern Great Plains control site- Lamont,3/15/2007 0:00:00
84,31.590699999999998,-110.510400000000000,0.125629082000000,2007-3-15T00:00:00.000Z,US-Aud,Audubon Research Ranch,3/15/2007 0:00:00
85,44.345300000000002,-96.836200000000005,0.076039843000000,2007-3-15T00:00:00.000Z,US-Bkg,Brookings,3/15/2007 0:00:00
86,39.216700000000003,-86.540599999999998,0.048165020000000,2007-3-15T00:00:00.000Z,US-BRG,Bayles Road Grassland Tower,3/15/2007 0:00:00
87,39.063299999999998,-79.420800000000000,0.128226683000000,2007-3-15T00:00:00.000Z,US-CaV,Canaan Valley,3/15/2007 0:00:00
89,40.815500000000000,-104.745600000000000,0.068337545000000,2007-3-15T00:00:00.000Z,US-CPR,NEON Central Plains Experimental Range (CPER),3/15/2007 0:00:00
90,43.950000000000003,-101.846600000000000,0.119117789000000,2007-3-15T00:00:00.000Z,US-Ctn,Cottonwood,3/15/2007 0:00:00
91,37.677300000000002,-121.529600000000000,0.267756253000000,2007-3-15T00:00:00.000Z,US-Dia,Diablo,3/15/2007 0:00:00
92,35.971200000000003,-79.093400000000003,0.207605213000000,2007-3-15T00:00:00.000Z,US-Dk1,Duke Forest-open field,3/15/2007 0:00:00
93,48.307699999999997,-105.101900000000000,0.009524761000000,2007-3-15T00:00:00.000Z,US-FPe,Fort Peck,3/15/2007 0:00:00
94,29.930000000000000,-98.010000000000005,0.325316936000000,2007-3-15T00:00:00.000Z,US-FR1,Freeman Ranch- Grassland,3/15/2007 0:00:00
95,29.949500000000000,-97.996200000000002,0.324590445000000,2007-3-15T00:00:00.000Z,US-FR2,Freeman Ranch- Mesquite Juniper,3/15/2007 0:00:00
96,35.445399999999999,-111.771800000000000,0.166179553000000,2007-3-15T00:00:00.000Z,US-Fwf,Flagstaff - Wildfire,3/15/2007 0:00:00
97,34.254700000000000,-89.873500000000007,0.325193018000000,2007-3-15T00:00:00.000Z,US-Goo,Goodwin Creek,3/15/2007 0:00:00
98,41.840600000000002,-88.241000000000000,0.018480102000000,2007-3-15T00:00:00.000Z,US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),3/15/2007 0:00:00
99,39.074500000000000,-96.595100000000002,0.056258541000000,2007-3-15T00:00:00.000Z,US-KFB,Konza Prairie LTER (4B),3/15/2007 0:00:00
100,39.056100000000001,-95.190700000000007,0.142992586000000,2007-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3/15/2007 0:00:00
101,38.774500000000003,-97.568399999999997,0.003667319000000,2007-3-15T00:00:00.000Z,US-KLS,Kansas Land Institute,3/15/2007 0:00:00
102,42.437600000000003,-85.328800000000001,0.086721748000000,2007-3-15T00:00:00.000Z,US-KM1,KBS Marshall Farms Corn,3/15/2007 0:00:00
103,42.444000000000003,-85.310400000000001,0.086721748000000,2007-3-15T00:00:00.000Z,US-KM2,KBS Marshall Farms Prairie,3/15/2007 0:00:00
104,42.444000000000003,-85.309799999999996,0.086721748000000,2007-3-15T00:00:00.000Z,US-KM3,KBS Marshall Farms Switchgrass,3/15/2007 0:00:00
105,39.082400000000000,-96.560299999999998,0.056258541000000,2007-3-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (KNZ),3/15/2007 0:00:00
106,44.994999999999997,-93.186300000000003,0.110619582000000,2007-3-15T00:00:00.000Z,US-KUT,KUOM Turfgrass Field,3/15/2007 0:00:00
107,34.137700000000002,-101.478700000000000,0.293925107000000,2007-3-15T00:00:00.000Z,US-LGr,Lockney Grassland,3/15/2007 0:00:00
108,34.960400000000000,-97.978899999999996,0.209704027000000,2007-3-15T00:00:00.000Z,US-LWW,Little Washita Watershed,3/15/2007 0:00:00
111,44.678100000000001,-93.072299999999998,0.110619582000000,2007-3-15T00:00:00.000Z,US-Ro4,Rosemount Prairie,3/15/2007 0:00:00
112,33.736400000000003,-117.694700000000000,0.111466318000000,2007-3-15T00:00:00.000Z,US-SCg,Southern California Climate Gradient - Grassland,3/15/2007 0:00:00
114,34.362299999999998,-106.701899999999990,0.026891513000000,2007-3-15T00:00:00.000Z,US-Seg,Sevilleta grassland,3/15/2007 0:00:00
115,36.933300000000003,-96.683300000000003,0.151595980000000,2007-3-15T00:00:00.000Z,US-Shd,Shidler- Oklahoma,3/15/2007 0:00:00
116,38.037300000000002,-121.753699999999990,0.323449284000000,2007-3-15T00:00:00.000Z,US-Snd,Sherman Island,3/15/2007 0:00:00
117,38.036900000000003,-121.754700000000000,0.323449284000000,2007-3-15T00:00:00.000Z,US-Sne,Sherman Island Restored Wetland,3/15/2007 0:00:00
118,31.789400000000001,-110.827699999999990,0.125629082000000,2007-3-15T00:00:00.000Z,US-SRG,Santa Rita Grassland,3/15/2007 0:00:00
119,31.821400000000001,-110.866100000000000,0.125629082000000,2007-3-15T00:00:00.000Z,US-SRM,Santa Rita Mesquite,3/15/2007 0:00:00
120,38.431600000000003,-120.965999999999990,0.393346697000000,2007-3-15T00:00:00.000Z,US-Ton,Tonzi Ranch,3/15/2007 0:00:00
121,38.413300000000000,-120.950700000000000,0.393346697000000,2007-3-15T00:00:00.000Z,US-Var,Vaira Ranch- Ione,3/15/2007 0:00:00
123,37.520800000000001,-96.855000000000004,0.056026384000000,2007-3-15T00:00:00.000Z,US-Wlr,Walnut River Watershed (Smileyburg),3/15/2007 0:00:00
125,50.170999999999999,-97.876199999999997,0.041023254000000,2007-4-15T00:00:00.000Z,CA-MA2,Manitoba Agricultural Site 2,4/15/2007 0:00:00
126,50.177399999999999,-97.868600000000001,0.041023254000000,2007-4-15T00:00:00.000Z,CA-MA3,Manitoba Agricultural Site 3,4/15/2007 0:00:00
127,36.819299999999998,-97.819800000000001,0.576603234000000,2007-4-15T00:00:00.000Z,US-A32,ARM-SGP Medford hay pasture,4/15/2007 0:00:00
128,36.426699999999997,-99.420000000000002,0.342851311000000,2007-4-15T00:00:00.000Z,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,4/15/2007 0:00:00
129,36.635800000000003,-99.597499999999997,0.225264415000000,2007-4-15T00:00:00.000Z,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,4/15/2007 0:00:00
130,35.549700000000001,-98.040199999999999,0.755610526000000,2007-4-15T00:00:00.000Z,US-ARb,ARM Southern Great Plains burn site- Lamont,4/15/2007 0:00:00
131,35.546500000000002,-98.040000000000006,0.755610526000000,2007-4-15T00:00:00.000Z,US-ARc,ARM Southern Great Plains control site- Lamont,4/15/2007 0:00:00
132,31.590699999999998,-110.510400000000000,0.146740839000000,2007-4-15T00:00:00.000Z,US-Aud,Audubon Research Ranch,4/15/2007 0:00:00
133,44.345300000000002,-96.836200000000005,0.155901417000000,2007-4-15T00:00:00.000Z,US-Bkg,Brookings,4/15/2007 0:00:00
134,39.216700000000003,-86.540599999999998,0.433569729000000,2007-4-15T00:00:00.000Z,US-BRG,Bayles Road Grassland Tower,4/15/2007 0:00:00
135,39.063299999999998,-79.420800000000000,0.366792500000000,2007-4-15T00:00:00.000Z,US-CaV,Canaan Valley,4/15/2007 0:00:00
136,38.090000000000003,-109.390000000000000,0.242480561000000,2007-4-15T00:00:00.000Z,US-Cop,Corral Pocket,4/15/2007 0:00:00
137,40.815500000000000,-104.745600000000000,0.066356406000000,2007-4-15T00:00:00.000Z,US-CPR,NEON Central Plains Experimental Range (CPER),4/15/2007 0:00:00
138,43.950000000000003,-101.846600000000000,0.120974369000000,2007-4-15T00:00:00.000Z,US-Ctn,Cottonwood,4/15/2007 0:00:00
139,37.677300000000002,-121.529600000000000,0.404220372000000,2007-4-15T00:00:00.000Z,US-Dia,Diablo,4/15/2007 0:00:00
140,35.971200000000003,-79.093400000000003,0.632625759000000,2007-4-15T00:00:00.000Z,US-Dk1,Duke Forest-open field,4/15/2007 0:00:00
141,48.307699999999997,-105.101900000000000,0.168201983000000,2007-4-15T00:00:00.000Z,US-FPe,Fort Peck,4/15/2007 0:00:00
142,29.930000000000000,-98.010000000000005,0.529519260000000,2007-4-15T00:00:00.000Z,US-FR1,Freeman Ranch- Grassland,4/15/2007 0:00:00
143,29.949500000000000,-97.996200000000002,0.651207447000000,2007-4-15T00:00:00.000Z,US-FR2,Freeman Ranch- Mesquite Juniper,4/15/2007 0:00:00
144,35.445399999999999,-111.771800000000000,0.034709118000000,2007-4-15T00:00:00.000Z,US-Fwf,Flagstaff - Wildfire,4/15/2007 0:00:00
145,34.254700000000000,-89.873500000000007,0.544327855000000,2007-4-15T00:00:00.000Z,US-Goo,Goodwin Creek,4/15/2007 0:00:00
146,41.840600000000002,-88.241000000000000,0.174713731000000,2007-4-15T00:00:00.000Z,US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),4/15/2007 0:00:00
147,39.074500000000000,-96.595100000000002,0.351851076000000,2007-4-15T00:00:00.000Z,US-KFB,Konza Prairie LTER (4B),4/15/2007 0:00:00
148,39.056100000000001,-95.190700000000007,0.343039632000000,2007-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4/15/2007 0:00:00
149,38.774500000000003,-97.568399999999997,0.350290328000000,2007-4-15T00:00:00.000Z,US-KLS,Kansas Land Institute,4/15/2007 0:00:00
150,42.437600000000003,-85.328800000000001,0.139055505000000,2007-4-15T00:00:00.000Z,US-KM1,KBS Marshall Farms Corn,4/15/2007 0:00:00
151,42.444000000000003,-85.310400000000001,0.139055505000000,2007-4-15T00:00:00.000Z,US-KM2,KBS Marshall Farms Prairie,4/15/2007 0:00:00
152,42.444000000000003,-85.309799999999996,0.139055505000000,2007-4-15T00:00:00.000Z,US-KM3,KBS Marshall Farms Switchgrass,4/15/2007 0:00:00
153,39.082400000000000,-96.560299999999998,0.351851076000000,2007-4-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (KNZ),4/15/2007 0:00:00
154,44.994999999999997,-93.186300000000003,0.053782139000000,2007-4-15T00:00:00.000Z,US-KUT,KUOM Turfgrass Field,4/15/2007 0:00:00
155,34.137700000000002,-101.478700000000000,0.556457341000000,2007-4-15T00:00:00.000Z,US-LGr,Lockney Grassland,4/15/2007 0:00:00
156,34.960400000000000,-97.978899999999996,0.473309189000000,2007-4-15T00:00:00.000Z,US-LWW,Little Washita Watershed,4/15/2007 0:00:00
157,39.877099999999999,-105.169000000000000,0.180768028000000,2007-4-15T00:00:00.000Z,US-RFE,RockyFlats - East site,4/15/2007 0:00:00
158,39.875100000000003,-105.218400000000000,0.180768028000000,2007-4-15T00:00:00.000Z,US-RFW,RockyFlats - West site,4/15/2007 0:00:00
159,44.678100000000001,-93.072299999999998,0.053782139000000,2007-4-15T00:00:00.000Z,US-Ro4,Rosemount Prairie,4/15/2007 0:00:00
160,33.736400000000003,-117.694700000000000,0.228352830000000,2007-4-15T00:00:00.000Z,US-SCg,Southern California Climate Gradient - Grassland,4/15/2007 0:00:00
161,42.069299999999998,-101.407200000000000,0.058406960000000,2007-4-15T00:00:00.000Z,US-SdH,Nebraska SandHills Dry Valley,4/15/2007 0:00:00
162,34.362299999999998,-106.701899999999990,0.118377097000000,2007-4-15T00:00:00.000Z,US-Seg,Sevilleta grassland,4/15/2007 0:00:00
163,36.933300000000003,-96.683300000000003,0.542357326000000,2007-4-15T00:00:00.000Z,US-Shd,Shidler- Oklahoma,4/15/2007 0:00:00
164,38.037300000000002,-121.753699999999990,0.391011775000000,2007-4-15T00:00:00.000Z,US-Snd,Sherman Island,4/15/2007 0:00:00
165,38.036900000000003,-121.754700000000000,0.391011775000000,2007-4-15T00:00:00.000Z,US-Sne,Sherman Island Restored Wetland,4/15/2007 0:00:00
166,31.789400000000001,-110.827699999999990,0.146740839000000,2007-4-15T00:00:00.000Z,US-SRG,Santa Rita Grassland,4/15/2007 0:00:00
167,31.821400000000001,-110.866100000000000,0.146740839000000,2007-4-15T00:00:00.000Z,US-SRM,Santa Rita Mesquite,4/15/2007 0:00:00
168,38.431600000000003,-120.965999999999990,0.533192217000000,2007-4-15T00:00:00.000Z,US-Ton,Tonzi Ranch,4/15/2007 0:00:00
169,38.413300000000000,-120.950700000000000,0.533192217000000,2007-4-15T00:00:00.000Z,US-Var,Vaira Ranch- Ione,4/15/2007 0:00:00
170,31.736499999999999,-109.941900000000000,0.183651537000000,2007-4-15T00:00:00.000Z,US-Wkg,Walnut Gulch Kendall Grasslands,4/15/2007 0:00:00
171,37.520800000000001,-96.855000000000004,0.345485002000000,2007-4-15T00:00:00.000Z,US-Wlr,Walnut River Watershed (Smileyburg),4/15/2007 0:00:00
172,49.709299999999999,-112.940200000000000,0.272426575000000,2007-5-15T00:00:00.000Z,CA-Let,Alberta - Mixed Grass Prairie,5/15/2007 0:00:00
173,50.170999999999999,-97.876199999999997,0.135565013000000,2007-5-15T00:00:00.000Z,CA-MA2,Manitoba Agricultural Site 2,5/15/2007 0:00:00
174,50.177399999999999,-97.868600000000001,0.135565013000000,2007-5-15T00:00:00.000Z,CA-MA3,Manitoba Agricultural Site 3,5/15/2007 0:00:00
175,36.819299999999998,-97.819800000000001,0.369350106000000,2007-5-15T00:00:00.000Z,US-A32,ARM-SGP Medford hay pasture,5/15/2007 0:00:00
176,36.426699999999997,-99.420000000000002,0.339394450000000,2007-5-15T00:00:00.000Z,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,5/15/2007 0:00:00
177,36.635800000000003,-99.597499999999997,0.468711704000000,2007-5-15T00:00:00.000Z,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,5/15/2007 0:00:00
178,35.549700000000001,-98.040199999999999,0.502486289000000,2007-5-15T00:00:00.000Z,US-ARb,ARM Southern Great Plains burn site- Lamont,5/15/2007 0:00:00
179,35.546500000000002,-98.040000000000006,0.502486289000000,2007-5-15T00:00:00.000Z,US-ARc,ARM Southern Great Plains control site- Lamont,5/15/2007 0:00:00
180,31.590699999999998,-110.510400000000000,0.132328376000000,2007-5-15T00:00:00.000Z,US-Aud,Audubon Research Ranch,5/15/2007 0:00:00
181,44.345300000000002,-96.836200000000005,0.369831353000000,2007-5-15T00:00:00.000Z,US-Bkg,Brookings,5/15/2007 0:00:00
182,39.216700000000003,-86.540599999999998,0.878056884000000,2007-5-15T00:00:00.000Z,US-BRG,Bayles Road Grassland Tower,5/15/2007 0:00:00
183,39.063299999999998,-79.420800000000000,0.759457350000000,2007-5-15T00:00:00.000Z,US-CaV,Canaan Valley,5/15/2007 0:00:00
184,38.090000000000003,-109.390000000000000,0.180517286000000,2007-5-15T00:00:00.000Z,US-Cop,Corral Pocket,5/15/2007 0:00:00
185,40.815500000000000,-104.745600000000000,0.390219927000000,2007-5-15T00:00:00.000Z,US-CPR,NEON Central Plains Experimental Range (CPER),5/15/2007 0:00:00
186,43.950000000000003,-101.846600000000000,0.389062434000000,2007-5-15T00:00:00.000Z,US-Ctn,Cottonwood,5/15/2007 0:00:00
187,37.677300000000002,-121.529600000000000,0.373201728000000,2007-5-15T00:00:00.000Z,US-Dia,Diablo,5/15/2007 0:00:00
188,35.971200000000003,-79.093400000000003,0.753149569000000,2007-5-15T00:00:00.000Z,US-Dk1,Duke Forest-open field,5/15/2007 0:00:00
189,48.307699999999997,-105.101900000000000,0.278222173000000,2007-5-15T00:00:00.000Z,US-FPe,Fort Peck,5/15/2007 0:00:00
190,29.930000000000000,-98.010000000000005,0.554642320000000,2007-5-15T00:00:00.000Z,US-FR1,Freeman Ranch- Grassland,5/15/2007 0:00:00
191,29.949500000000000,-97.996200000000002,0.502427399000000,2007-5-15T00:00:00.000Z,US-FR2,Freeman Ranch- Mesquite Juniper,5/15/2007 0:00:00
192,35.445399999999999,-111.771800000000000,0.218147933000000,2007-5-15T00:00:00.000Z,US-Fwf,Flagstaff - Wildfire,5/15/2007 0:00:00
193,34.254700000000000,-89.873500000000007,0.816703856000000,2007-5-15T00:00:00.000Z,US-Goo,Goodwin Creek,5/15/2007 0:00:00
194,41.840600000000002,-88.241000000000000,0.408567131000000,2007-5-15T00:00:00.000Z,US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),5/15/2007 0:00:00
195,39.074500000000000,-96.595100000000002,0.542379081000000,2007-5-15T00:00:00.000Z,US-KFB,Konza Prairie LTER (4B),5/15/2007 0:00:00
196,39.056100000000001,-95.190700000000007,0.521345437000000,2007-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5/15/2007 0:00:00
197,38.774500000000003,-97.568399999999997,0.567581654000000,2007-5-15T00:00:00.000Z,US-KLS,Kansas Land Institute,5/15/2007 0:00:00
198,42.437600000000003,-85.328800000000001,0.737877488000000,2007-5-15T00:00:00.000Z,US-KM1,KBS Marshall Farms Corn,5/15/2007 0:00:00
199,42.444000000000003,-85.310400000000001,0.737877488000000,2007-5-15T00:00:00.000Z,US-KM2,KBS Marshall Farms Prairie,5/15/2007 0:00:00
200,42.444000000000003,-85.309799999999996,0.737877488000000,2007-5-15T00:00:00.000Z,US-KM3,KBS Marshall Farms Switchgrass,5/15/2007 0:00:00
201,39.082400000000000,-96.560299999999998,0.542379081000000,2007-5-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (KNZ),5/15/2007 0:00:00
202,44.994999999999997,-93.186300000000003,0.496737480000000,2007-5-15T00:00:00.000Z,US-KUT,KUOM Turfgrass Field,5/15/2007 0:00:00
203,34.137700000000002,-101.478700000000000,0.394634336000000,2007-5-15T00:00:00.000Z,US-LGr,Lockney Grassland,5/15/2007 0:00:00
204,34.960400000000000,-97.978899999999996,0.106881604000000,2007-5-15T00:00:00.000Z,US-LWW,Little Washita Watershed,5/15/2007 0:00:00
205,39.877099999999999,-105.169000000000000,0.426210552000000,2007-5-15T00:00:00.000Z,US-RFE,RockyFlats - East site,5/15/2007 0:00:00
206,39.875100000000003,-105.218400000000000,0.426210552000000,2007-5-15T00:00:00.000Z,US-RFW,RockyFlats - West site,5/15/2007 0:00:00
207,44.678100000000001,-93.072299999999998,0.496737480000000,2007-5-15T00:00:00.000Z,US-Ro4,Rosemount Prairie,5/15/2007 0:00:00
208,33.736400000000003,-117.694700000000000,0.258220494000000,2007-5-15T00:00:00.000Z,US-SCg,Southern California Climate Gradient - Grassland,5/15/2007 0:00:00
209,42.069299999999998,-101.407200000000000,0.359911948000000,2007-5-15T00:00:00.000Z,US-SdH,Nebraska SandHills Dry Valley,5/15/2007 0:00:00
210,34.362299999999998,-106.701899999999990,0.043023642000000,2007-5-15T00:00:00.000Z,US-Seg,Sevilleta grassland,5/15/2007 0:00:00
211,36.933300000000003,-96.683300000000003,0.732973337000000,2007-5-15T00:00:00.000Z,US-Shd,Shidler- Oklahoma,5/15/2007 0:00:00
212,38.037300000000002,-121.753699999999990,0.333611429000000,2007-5-15T00:00:00.000Z,US-Snd,Sherman Island,5/15/2007 0:00:00
